ID,Funct,Pronoun,PPron,I,We,You,SheHe,They,iPron,Article,Verb,AuxVerb,enPast,enPresent,enFuture,Adverb,Preps,Conj,Negate,Quant,Number,Swear,YouPL,PrepEnd,SpecArt,QuanUnit,Interjunction,MultiFun,TenseM,PastM,PresentM,FutureM,ProgM,Social,Family,Friend,Humans,Affect,PosEmo,NegEmo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhibition,Inclusive,Exclusive,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relative,Motion,Space,Time,Work,Achieve,Leisure,Home,Money,Religion,Death,Assent,Nonfl,Filler,Psychology,Love,tPast,tNow,tFuture,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostrophe,Parenth,OtherP,WordCount,WordPerSentence,RateDicCover,RateNumeral,RateSixLtrWord,RateFourCharWord,RateLatinWord,NumAtMention,NumEmotion,NumHashTag,NumURLs
米缸里的爽粉,0.298462,0.0446506,0.0268158,0.0172001,0.0015235,0.00503969,0.00167254,0.000320155,0.0182378,0.0,0.0863923,0.0176141,0.0,0.0,0.0,0.0650744,0.0262472,0.0261258,0.00141862,0.0133417,0.0112496,0.0014407,0.00118126,0.0117022,0.00710966,0.0255959,0.0720626,0.058456,0.0399146,0.00310772,0.00609399,0.00607191,0.0246299,0.0387002,0.00259988,0.00124198,0.0105099,0.045037,0.0245747,0.0126296,0.00196509,0.00416754,0.00186021,0.128051,0.0152957,0.00909131,0.015936,0.0160409,0.0100739,0.00242325,0.0234983,0.019524,0.0187291,0.00582352,0.00617127,0.00349963,0.0191044,0.00837372,0.0038805,0.00209757,0.00539848,0.0792771,0.0194301,0.0373533,0.0285214,0.0226096,0.00924035,0.0207715,0.00262196,0.0030194,0.00297524,0.00320707,0.0528974,0.00948874,0.00623199,0.0136452,0.000436074,0.00178845,0.00208653,0.00068999,0.00704342,0.0289023,0.0321811,0.00856692,0.0638103,0.0111226,0.0010819,0.00597255,0.00510041,0.0129884,0.0223502,181162,11.0438,0.708476,0.0152295,0.0151853,0.0686292,0.0488844,0,0,432,17
某川辣的_鸡丝凉葩,0.307899,0.0435171,0.0269747,0.0178625,0.00140515,0.00559932,0.00146902,0.000191612,0.0168831,0.0,0.0879923,0.0197147,0.0,0.0,0.0,0.0701937,0.0286566,0.0260592,0.00119225,0.0127528,0.00996381,0.00144773,0.000532255,0.0115606,0.00711092,0.0242708,0.0810517,0.0591228,0.0417288,0.0034703,0.00596125,0.00734511,0.0249095,0.0390036,0.00364062,0.00136257,0.0110922,0.0437726,0.0247818,0.0108793,0.00163934,0.00421546,0.00193741,0.135469,0.0149031,0.00821801,0.0187779,0.0153928,0.0112625,0.00261869,0.0260166,0.0195231,0.016798,0.00406643,0.00504577,0.00398126,0.0185863,0.00832446,0.00312966,0.00255482,0.00530126,0.0794763,0.0191399,0.0365765,0.0289972,0.0202895,0.00872898,0.0183734,0.00189483,0.00404514,0.00278901,0.00300192,0.0520758,0.0111348,0.00649351,0.0123057,0.000617415,0.00155418,0.00200128,0.000830317,0.00664254,0.0359378,0.0410262,0.00470513,0.0490526,0.0244198,0.0023845,0.00266127,0.000745156,0.00489674,0.0201192,46970,11.7867,0.702363,0.0190547,0.0220992,0.0816266,0.0487545,0,0,86,6
某干锅的_手撕大姨夫,0.32655,0.0518451,0.0352785,0.0221087,0.00172817,0.00835779,0.00199634,0.000357553,0.0171178,0.0,0.095541,0.0213191,0.0,0.0,0.0,0.0741326,0.0291554,0.0276358,0.00122164,0.0154641,0.0130358,0.00131103,0.000953473,0.0109351,0.00651044,0.0232707,0.0797491,0.0659089,0.0434128,0.00391818,0.00719575,0.00594431,0.0263546,0.0475694,0.00309879,0.0022794,0.0125739,0.0501765,0.0282913,0.0116949,0.00257736,0.00339675,0.00260715,0.142261,0.0168795,0.00865575,0.0197548,0.0169986,0.0100115,0.00342655,0.0272932,0.0234793,0.0193674,0.0044992,0.00598901,0.00479716,0.0239113,0.0107564,0.00433532,0.00293491,0.00771718,0.0819093,0.0216766,0.0353083,0.0305112,0.0186076,0.0083131,0.015926,0.00256246,0.00438002,0.00253266,0.00259226,0.0543927,0.00819391,0.00730003,0.0124696,0.000625717,0.00232409,0.00266675,0.00104286,0.00732983,0.0391073,0.0403736,0.00420124,0.0487016,0.0189801,0.00166858,0.00287532,0.00104286,0.00488655,0.0171923,67123,12.6219,0.728692,0.00883453,0.0130656,0.0692311,0.0356212,0,0,107,6
任性的方方子,0.2725,0.0399532,0.0281054,0.0195516,0.00185953,0.00494103,0.00122197,0.000318776,0.0120604,0.0,0.0831474,0.0166826,0.0,0.0,0.0,0.0668367,0.027096,0.0228456,0.00132823,0.0112103,0.00807566,0.00297524,0.000212517,0.00988205,0.00547232,0.020933,0.0741685,0.0563171,0.0392626,0.00329402,0.00536606,0.00483477,0.0257677,0.0341622,0.00324089,0.00196578,0.0105196,0.0522261,0.0320901,0.0133355,0.00345341,0.00382531,0.00297524,0.122782,0.0141855,0.00520667,0.0165763,0.0109978,0.00850069,0.00196578,0.0242801,0.020561,0.0199766,0.00637552,0.00387844,0.00472851,0.025874,0.0116884,0.00781001,0.00297524,0.0083413,0.0732653,0.018914,0.0342684,0.0220487,0.020933,0.00738498,0.0169483,0.00196578,0.00430347,0.00260334,0.00159388,0.0604612,0.0052598,0.0057911,0.0124854,0.000531293,0.000903198,0.00185953,0.00074381,0.00297524,0.0131761,0.0618957,0.0128573,0.0473382,0.0103071,0.000690681,0.00340028,0.000637552,0.00286898,0.0339496,18822,13.5997,0.67793,0.0138136,0.0146106,0.103762,0.0515354,0,0,87,0
时风瞬影,0.280886,0.0424502,0.0269777,0.0178529,0.000952154,0.00460208,0.00245973,0.000396731,0.0160279,0.0,0.0795049,0.0218202,0.0,0.0,0.0,0.061652,0.0242006,0.0186464,0.000714116,0.0124574,0.00920416,0.00150758,0.0010315,0.00983893,0.00396731,0.018805,0.0749821,0.0623661,0.0380068,0.00341189,0.00372927,0.00476077,0.0261049,0.0372134,0.00341189,0.00174562,0.010077,0.0500674,0.0284853,0.00991827,0.00238039,0.00706181,0.00119019,0.114893,0.0141236,0.00706181,0.0172975,0.0135682,0.00983893,0.00134889,0.0196779,0.0173768,0.0172975,0.00539554,0.00491946,0.00317385,0.0217409,0.00991827,0.00333254,0.0030945,0.00650639,0.0591129,0.0169007,0.027057,0.0196779,0.0175355,0.00587162,0.0130128,0.00158692,0.00238039,0.00158692,0.00333254,0.0587955,0.0103944,0.006189,0.0111878,0.000158692,0.00111085,0.00119019,0.000872808,0.00325319,0.0180909,0.0656986,0.0104737,0.0220582,0.0176149,0.00222169,0.00134889,0.00134889,0.00729985,0.0283266,12603,18.6988,0.650718,0.0136475,0.0242799,0.117036,0.0603824,0,0,11,0
是扁食君不是偏食君,0.277674,0.0408481,0.0285703,0.0183583,0.00144216,0.0065092,0.00134471,0.000194886,0.0125702,0.0,0.0846975,0.0189429,0.0,0.0,0.0,0.061584,0.023094,0.0208528,0.00120829,0.0147919,0.00929607,0.00111085,0.000799033,0.00914016,0.0054763,0.0191963,0.0695159,0.057394,0.0381392,0.0023971,0.00487215,0.00518397,0.0256665,0.0356837,0.00305971,0.00173449,0.00962738,0.0533598,0.0349041,0.0113814,0.00163704,0.00419005,0.00181244,0.117166,0.0152401,0.00666511,0.015474,0.013681,0.00857499,0.00298176,0.0208333,0.0173059,0.0173449,0.0047942,0.00456034,0.00395619,0.0238736,0.0120829,0.00366386,0.00200733,0.00699641,0.0731993,0.0181049,0.0353134,0.0242244,0.0178321,0.00732772,0.0184947,0.00259199,0.00243608,0.0023971,0.00263096,0.0677424,0.00906221,0.00551528,0.0127261,0.000584659,0.00113034,0.00155909,0.000799033,0.00385875,0.0177541,0.0664952,0.00485267,0.0457983,0.0172864,0.00196835,0.00305971,0.000779545,0.00592454,0.020619,51312,13.9246,0.676879,0.0151232,0.0236202,0.105979,0.0447654,0,0,49,5
泰山凉皮,0.271186,0.0493559,0.0357966,0.023322,0.00257627,0.00772881,0.00108475,0.000271186,0.0136949,0.0,0.0840678,0.0188475,0.0,0.0,0.0,0.0606102,0.0282034,0.0248136,0.000677966,0.0127458,0.00881356,0.00135593,0.000949153,0.0101695,0.00461017,0.019661,0.0657627,0.0497627,0.0309153,0.00298305,0.00664407,0.00433898,0.0168136,0.0448814,0.00122034,0.00338983,0.00935593,0.0481356,0.0253559,0.0134237,0.00298305,0.00244068,0.00420339,0.126915,0.0146441,0.00745763,0.0187119,0.0135593,0.0115254,0.00325424,0.0267119,0.0197966,0.0174915,0.00488136,0.00474576,0.00338983,0.0164068,0.00528814,0.00433898,0.00244068,0.00501695,0.0847458,0.0248136,0.0348475,0.0317288,0.0305085,0.0124746,0.0267119,0.00311864,0.0115254,0.00230508,0.00257627,0.0352542,0.00230508,0.00501695,0.0139661,0.000271186,0.00108475,0.00325424,0.0020339,0.0109831,0.0621017,0.0244068,0.00827119,0.101966,0.0238644,0.00108475,0.00488136,0.000135593,0.00542373,0.0264407,7375,6.88609,0.758508,0.0147797,0.0100339,0.0538305,0.043661,0,0,28,1
跳跳19940605,0.242739,0.033195,0.0228216,0.0145228,0.0,0.00622407,0.0,0.0,0.0103734,0.0,0.06639,0.0228216,0.0,0.0,0.0,0.0456432,0.0207469,0.0186722,0.0,0.0103734,0.0186722,0.0,0.00207469,0.00414938,0.0,0.0207469,0.0580913,0.0414938,0.0290456,0.0,0.0124481,0.00207469,0.0145228,0.0414938,0.00207469,0.0,0.0165975,0.0456432,0.026971,0.0103734,0.0,0.00414938,0.0,0.109959,0.00829876,0.00829876,0.0165975,0.0103734,0.0165975,0.00207469,0.0145228,0.0145228,0.0145228,0.00829876,0.0,0.0,0.0207469,0.00414938,0.0,0.00207469,0.0165975,0.0912863,0.026971,0.0311203,0.033195,0.0435685,0.0207469,0.0539419,0.00622407,0.0145228,0.0,0.00622407,0.026971,0.0,0.00622407,0.0124481,0.0,0.0,0.00414938,0.0,0.00622407,0.0560166,0.00414938,0.0103734,0.157676,0.0165975,0.0,0.0124481,0.0,0.0124481,0.0352697,482,5.1828,0.823651,0.0186722,0.00414938,0.0248963,0.0435685,0,0,6,0
脱非入欧游明桑,0.302752,0.0443894,0.0298016,0.0185341,0.00159214,0.00640938,0.00206842,0.000231337,0.0150097,0.0,0.0840432,0.0191737,0.0,0.0,0.0,0.0653458,0.0251613,0.0251204,0.00125194,0.0122881,0.0126146,0.00149688,0.0011839,0.0114988,0.0064366,0.0222355,0.0770895,0.0603516,0.0410418,0.0025447,0.00537517,0.00567455,0.0274474,0.038538,0.00417767,0.00133359,0.0105871,0.0434096,0.0246033,0.0115668,0.00125194,0.004409,0.00176904,0.126963,0.0154587,0.00771576,0.0160439,0.0125058,0.00997469,0.00231337,0.0254198,0.0183981,0.0162752,0.00515744,0.00462673,0.00333397,0.0205209,0.0105326,0.00334758,0.00228615,0.0050894,0.0723539,0.0177993,0.0325912,0.0274474,0.0179354,0.00775658,0.0149008,0.00180987,0.00337479,0.0037286,0.00381025,0.057875,0.0132814,0.00615083,0.0128868,0.000571537,0.00156492,0.00178265,0.000884522,0.00424571,0.0340745,0.0481316,0.00291212,0.0404023,0.0222083,0.00145606,0.00530713,0.00175544,0.00851863,0.0166562,73486,14.3303,0.684307,0.011213,0.0209292,0.0849958,0.044784,0,0,55,10
小夙,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
